amogh2005 | kingSlayer20 | Amogh | Karee | Male | 10/06/2005 | 1,000,000 | 123-45-6789 | c111111 | s111111 | 
harsh2006 | queenSlayer25 | Harsh | Shah | Male | 4/18/2006 | 10 | 234-56-7891 | c111112 | s111112 | 
johan2006 | IeatRamenInMyFreeTime | Johan | Alexander | Male | 12/09/2006 | 1 | 345-67-8912 | c111113 | s111113 | 
anshu2009 | Shaux2024 | Anshu | Karee | Female | 4/28/2009 | 100,000 | 456-78-9123 | c111114 |  
maxwell2006 | TennisPlayer22 | Maxwell | Booker | Male | 9/3/2006 | 2 | 567-89-1234 | s111114 |  
diego2005 | PokerPlayer10 | Diego | Benitez | Male | 12/31/2005 | 10.50 | 455-26-1234 | s111115 |  
sharvil2006 | PiskiesBrother2024 | Shirval | Raut | Female | 04/23/2006 | 300,000 | 789-12-3456 | c111115 | s111116 |  
gerad2005 | Kickfliper2019 | Louis | Gruntz | Male | 10/19/2005 | 70000 | 987-65-4321 | c111116 | s111117 |  
user001 | pass001! | Lucas | Clark | Male | 09/26/2003 | 36467 | 601-12-1000 | c111118 | s111118 |
user002 | pass002! | Daniel | Johnson | Female | 09/25/2005 | 28988 | 601-12-1001 | c111119 | s111119 |
user003 | pass003! | Lucas | Foster | Female | 10/16/2005 | 22844 | 601-12-1002 | c111120 | s111120 |
user004 | pass004! | Amelia | Morgan | Male | 09/01/2003 | 20272 | 601-12-1003 | c111121 | s111121 |
user005 | pass005! | Sophia | Garcia | Male | 12/09/2002 | 37876 | 601-12-1004 | c111122 | s111122 |
user006 | pass006! | Ava | Martinez | Male | 06/21/2004 | 23115 | 601-12-1005 | c111123 | s111123 |
user007 | pass007! | Sophia | Clark | Male | 02/27/2002 | 13938 | 601-12-1006 | c111124 | s111124 |
user008 | pass008! | Lucas | Kim | Female | 06/14/2004 | 40504 | 601-12-1007 | c111125 | s111125 |
user009 | pass009! | Emma | Rodriguez | Male | 03/08/2006 | 22364 | 601-12-1008 | c111126 | s111126 |
user010 | pass010! | Isabella | Rodriguez | Female | 09/25/2005 | 18000 | 601-12-1009 | c111127 | s111127 |
user011 | pass011! | Ethan | Martinez | Male | 12/19/2004 | 15047 | 601-12-1010 | c111128 | s111128 |
user012 | pass012! | Jason | Foster | Male | 02/17/2002 | 30125 | 601-12-1011 | c111129 | s111129 |
user013 | pass013! | Lucas | Brown | Male | 05/05/2003 | 49168 | 601-12-1012 | c111130 | s111130 |
user014 | pass014! | Charlotte | Smith | Male | 02/07/2005 | 6450 | 601-12-1013 | c111131 | s111131 |
user015 | pass015! | Ava | Foster | Female | 12/04/2005 | 11400 | 601-12-1014 | c111132 | s111132 |
user016 | pass016! | Emma | Clark | Male | 08/27/2003 | 13215 | 601-12-1015 | c111133 | s111133 |
user017 | pass017! | Isabella | Patel | Male | 01/26/2003 | 33925 | 601-12-1016 | c111134 | s111134 |
user018 | pass018! | Olivia | Clark | Female | 10/07/2004 | 28023 | 601-12-1017 | c111135 | s111135 |
user019 | pass019! | Lucas | Clark | Male | 10/23/2006 | 6479 | 601-12-1018 | c111136 | s111136 |
user020 | pass020! | Ryan | Clark | Female | 08/03/2004 | 13723 | 601-12-1019 | c111137 | s111137 |
user021 | pass021! | Mia | Clark | Female | 06/06/2004 | 33734 | 601-12-1020 | c111138 | s111138 |
